Source,Target,Type,Id,Label
"MY","NP","Undirected","1","1.1.1"
"MB","MY","Undirected","2","1.1.1"
"ME","MY","Undirected","3","1.1.1"
"MB","ME","Undirected","4","1.1.1"
"HD","MY","Undirected","5","1.1.2"
"MB","MY","Undirected","6","1.1.2"
"MG","MY","Undirected","7","1.1.2"
"MB","ME","Undirected","8","1.1.2"
"MB","MY","Undirected","9","1.1.2"
"MS","MY","Undirected","10","1.1.3"
"ME","MY","Undirected","11","1.1.4"
"CL","MY","Undirected","12","1.1.4"
"GE","MY","Undirected","13","1.1.4"
"MC","MY","Undirected","14","1.1.4"
"MB","MY","Undirected","15","1.1.4"
"CD","MY","Undirected","16","1.1.4"
"MB","MY","Undirected","17","1.1.5"
"ME","MY","Undirected","18","1.1.5"
"MB","ME","Undirected","19","1.1.5"
"ME","MY","Undirected","20","1.1.6"
"CA","MY","Undirected","21","1.1.6"
"MH","MY","Undirected","22","1.1.7"
"CB","MY","Undirected","23","1.1.7"
"CV","MY","Undirected","24","1.1.7"
"MB","MY","Undirected","25","1.1.7"
"ME","MY","Undirected","26","1.1.7"
"MB","ME","Undirected","27","1.1.7"
"MY","SN","Undirected","28","1.1.8"
"MB","VB","Undirected","29","1.1.9"
"GG","SB","Undirected","30","1.1.10"
"GG","MY","Undirected","31","1.1.10"
"MY","SN","Undirected","32","1.1.14"
"GD","JV","Undirected","33","1.2.1"
"JL","JV","Undirected","34","1.2.1"
"JL","KB","Undirected","35","1.2.1"
"JL","JV","Undirected","36","1.2.1"
"JV","KT","Undirected","37","1.2.1"
"FM","JV","Undirected","38","1.2.1"
"FM","JL","Undirected","39","1.2.1"
"FM","KT","Undirected","40","1.2.1"
"JV","KT","Undirected","41","1.2.1"
"JD","JV","Undirected","42","1.2.1"
"JV","PD","Undirected","43","1.2.1"
"PD","PE","Undirected","44","1.2.1"
"JV","MR","Undirected","45","1.2.1"
"ME","MY","Undirected","46","1.2.2"
"MB","MY","Undirected","47","1.2.2"
"MB","ME","Undirected","48","1.2.2"
"JV","ME","Undirected","49","1.2.3"
"JV","MB","Undirected","50","1.2.3"
"JV","MY","Undirected","51","1.2.3"
"MB","ME","Undirected","52","1.2.3"
"ME","MY","Undirected","53","1.2.3"
"MB","MY","Undirected","54","1.2.3"
"MB","VB","Undirected","55","1.2.4"
"JV","MY","Undirected","56","1.2.4"
"MB","MY","Undirected","57","1.2.4"
"JV","MB","Undirected","58","1.2.4"
"JV","MY","Undirected","59","1.2.4"
"MB","MY","Undirected","60","1.2.4"
"ME","MY","Undirected","61","1.2.4"
"JV","MB","Undirected","62","1.2.4"
"JV","ME","Undirected","63","1.2.4"
"MB","ME","Undirected","64","1.2.4"
"MB","MY","Undirected","65","1.2.5"
"JV","MY","Undirected","66","1.2.5"
"JM","JV","Undirected","67","1.2.6"
"JV","MD","Undirected","68","1.2.6"
"IS","JV","Undirected","69","1.2.6"
"JV","PR","Undirected","70","1.2.6"
"JM","JN","Undirected","71","1.2.6"
"JN","KD","Undirected","72","1.2.6"
"DO","JV","Undirected","73","1.2.9"
"ME","MY","Undirected","74","1.2.12"
"JV","TR","Undirected","75","1.2.12"
"JV","MY","Undirected","76","1.2.12"
"MY","TR","Undirected","77","1.2.12"
"JV","MY","Undirected","78","1.2.12"
"JV","PG","Undirected","79","1.2.13"
"JV","PH","Undirected","80","1.2.13"
"FT","LI","Undirected","81","1.3.3"
"FA","FT","Undirected","82","1.3.3"
"BL","FT","Undirected","83","1.3.3"
"FT","FV","Undirected","84","1.3.3"
"DA","FT","Undirected","85","1.3.3"
"FT","ZE","Undirected","86","1.3.3"
"FN","FT","Undirected","87","1.3.3"
"FA","LI","Undirected","88","1.3.3"
"BL","LI","Undirected","89","1.3.3"
"FV","LI","Undirected","90","1.3.3"
"DA","LI","Undirected","91","1.3.3"
"LI","ZE","Undirected","92","1.3.3"
"FN","LI","Undirected","93","1.3.3"
"BL","FA","Undirected","94","1.3.3"
"FA","FV","Undirected","95","1.3.3"
"DA","FA","Undirected","96","1.3.3"
"FA","ZE","Undirected","97","1.3.3"
"FA","FN","Undirected","98","1.3.3"
"BL","FV","Undirected","99","1.3.3"
"BL","DA","Undirected","100","1.3.3"
"BL","ZE","Undirected","101","1.3.3"
"BL","FN","Undirected","102","1.3.3"
"DA","FV","Undirected","103","1.3.3"
"FV","ZE","Undirected","104","1.3.3"
"FN","FV","Undirected","105","1.3.3"
"DA","ZE","Undirected","106","1.3.3"
"DA","FN","Undirected","107","1.3.3"
"FN","ZE","Undirected","108","1.3.3"
"FT","LI","Undirected","109","1.3.4"
"FA","FT","Undirected","110","1.3.4"
"BL","FT","Undirected","111","1.3.4"
"FT","FV","Undirected","112","1.3.4"
"DA","FT","Undirected","113","1.3.4"
"FT","ZE","Undirected","114","1.3.4"
"FN","FT","Undirected","115","1.3.4"
"FA","LI","Undirected","116","1.3.4"
"BL","LI","Undirected","117","1.3.4"
"FV","LI","Undirected","118","1.3.4"
"DA","LI","Undirected","119","1.3.4"
"LI","ZE","Undirected","120","1.3.4"
"FN","LI","Undirected","121","1.3.4"
"BL","FA","Undirected","122","1.3.4"
"FA","FV","Undirected","123","1.3.4"
"DA","FA","Undirected","124","1.3.4"
"FA","ZE","Undirected","125","1.3.4"
"FA","FN","Undirected","126","1.3.4"
"BL","FV","Undirected","127","1.3.4"
"BL","DA","Undirected","128","1.3.4"
"BL","ZE","Undirected","129","1.3.4"
"BL","FN","Undirected","130","1.3.4"
"DA","FV","Undirected","131","1.3.4"
"FV","ZE","Undirected","132","1.3.4"
"FN","FV","Undirected","133","1.3.4"
"DA","ZE","Undirected","134","1.3.4"
"DA","FN","Undirected","135","1.3.4"
"FN","ZE","Undirected","136","1.3.4"
"DA","FA","Undirected","137","1.3.6"
"FA","FT","Undirected","138","1.3.6"
"FA","ZE","Undirected","139","1.3.6"
"FA","FN","Undirected","140","1.3.6"
"FA","LI","Undirected","141","1.3.6"
"FA","FV","Undirected","142","1.3.6"
"BL","FA","Undirected","143","1.3.6"
"DA","FT","Undirected","144","1.3.6"
"DA","ZE","Undirected","145","1.3.6"
"DA","FN","Undirected","146","1.3.6"
"DA","LI","Undirected","147","1.3.6"
"DA","FV","Undirected","148","1.3.6"
"BL","DA","Undirected","149","1.3.6"
"FT","ZE","Undirected","150","1.3.6"
"FN","FT","Undirected","151","1.3.6"
"FT","LI","Undirected","152","1.3.6"
"FT","FV","Undirected","153","1.3.6"
